Gene,Accession,Chromosome,End,Start,Strand,fit_alpha,fit_beta,fit_gamma,fit_U_switch,fit_likelihood,fit_scaling
Nkd2,Nkd2,13,73847631,73819328,-,5.065515080994063,0.06817528134273197,0.08160230891107442,73.55833128100096,1.3012020788960177,4.385351622381879
Adamts1,Adamts1,16,85803115,85793828,-,,,,,0,0
Nfe2l3,Nfe2l3,6,51458768,51432670,+,3.0933018464196858,0.03802497842287581,0.07087891217250454,80.53571507388861,0.7076625360973443,5.944421604229465
Trf,Trf,9,103230286,103208876,-,1.456529363007728,0.029689156822422947,0.028279661795818135,48.56871072500776,0.41913359170131154,13.10916069895515
Vcan,Vcan,13,89742512,89655310,-,3.3167867382749265,0.04902854590662335,0.044125458607411294,66.97361323229836,0.8466750051220214,0.9046239776250442
Rec8,Rec8,14,55625395,55618166,+,0.6926956831006126,0.0134841761511339,0.020185252330819456,50.85729514234649,0.6856060263847631,3.66174824234243
Fat1,Fat1,8,45052257,44950208,+,1.3662783241666336,0.018177232083437952,0.02246392166396343,74.41262424972793,0.6228886679253709,2.484932033644327
Ptprm,Ptprm,17,67354459,66666848,-,2.813692520685538,0.05094384663836758,0.041555349845308724,54.678941212515035,0.8368499420244907,0.1559879471339219
Pfkp,Pfkp,13,6648724,6579874,-,14.753952115328872,0.04734910165418276,0.18173865050198623,308.483415395174,1.2919589764208934,3.6877871809566187
Tubb6,Tubb6,18,67402749,67390731,+,1.3741338471763163,0.014267969574452167,0.016996338920482554,95.34590760134746,0.6493251794232036,17.906102265825616
Fign,Fign,2,64098038,63971508,-,6.97460874471086,0.046794121135187494,0.08145741768242762,147.5583361703858,0.8559012238918055,0.556563048497742
Hsp90b1,Hsp90b1,10,86705444,86690841,-,19.807463888435507,0.010277838738984867,0.02683746188100441,1633.0485729779125,0.40946821299001823,60.20428859511179
Nfasc,Nfasc,1,132741797,132564690,-,17.082229262500082,0.018136649709433843,0.060998566881468444,932.4438218089723,1.3140423447009253,1.2110263817695985
Prkar1b,Prkar1b,5,139130386,139017304,-,1.0713516913340382,0.01805099464081618,0.02369424953235581,58.75787985790134,0.5586560711298166,2.801807171068137
Adam19,Adam19,11,46147342,46055987,+,8.862256408897272,0.0893525205116104,0.10905652112966399,98.1912294647386,1.1503502489218123,2.6698548120436634
Cdc7,Cdc7,5,106984439,106964322,+,2.426267557555834,0.034443448453755444,0.03170866695239433,69.73764212968577,0.5475860834663143,3.719173387598202
Nde1,Nde1,16,14192923,14163275,+,3.0692534521592685,0.0210389247424128,0.028192373610688843,144.42567549624715,0.7116472004058918,10.455428881096546
Pcbp3,Pcbp3,10,76961947,76761854,-,4.768133082169744,0.013873802609727816,0.024638878703528523,340.24210118415795,0.769157020699665,0.7325168887590432
Dhfr,Dhfr,13,92389053,92354783,+,2.022385465514298,0.022836419933770526,0.023269995644633022,87.67405822216276,0.7581023721113537,9.019410621010866
Lamc1,Lamc1,1,153332786,153218922,-,9.195798212283975,0.022421229908667524,0.07326960380204658,406.0366120523033,0.9331841548339638,9.744275317209777
Megf10,Megf10,18,57297467,57133090,+,,,,,0,0
Clmn,Clmn,12,104865076,104763114,-,2.070678629867154,0.028333720777866958,0.03882406394771754,72.35095805595111,0.6556653771065495,1.1713748976264764
Cd200,Cd200,16,45409053,45382135,-,,,,,0,0
Cnksr2,Cnksr2,X,158043110,157821573,-,3.265245878753452,0.020560952539425928,0.06315657817756788,157.22002245603028,0.8626119360166055,1.7686568506321483
Trib2,Trib2,12,15816785,15791727,-,8.855194907001934,0.08471183847994843,0.06448527817882665,103.48781368978325,0.619422166409046,27.391436711907726
Gpsm2,Gpsm2,3,108722299,108678638,-,10.63520936589563,0.07110507537671638,0.12075492324945285,148.0746235969027,0.7265197684566761,13.51336712911177
Smc4,Smc4,3,69034623,69004972,+,5.91979136758484,0.05797336057329936,0.06570985281113427,101.09114593243348,0.7627736081564839,4.722277355939345
Mcm10,Mcm10,2,5012791,4990724,-,5.4797460798813225,0.05704680687817523,0.08774317182430522,95.09644651395848,1.1529119857376806,14.433875940281357
Cdca2,Cdca2,14,67715841,67676354,-,7.738842110981652,0.040339876228071954,0.08316985440960525,189.92258792654246,0.9630786381136328,2.355015518011771
Inpp5k,Inpp5k,11,75648865,75631020,+,1.678632799160798,0.02275959805519409,0.04987828056348476,73.01739104263008,0.645763959076649,4.299265405447306
Dkc1,Dkc1,X,75109776,75095854,+,3.417015074939286,0.01673229394147605,0.023753206660002763,202.17460534831326,0.5029729247339202,33.07718523026609
Atp1a3,Atp1a3,7,25005895,24978169,-,2.837134289055634,0.0556593283199097,0.07046794804837198,50.46347181951826,0.9361862404309085,8.56571035273069
Hmgcs1,Hmgcs1,13,119708077,119690462,+,10.23297542170787,0.08558754413282108,0.08843639634381918,118.36588805222996,0.4329546593375186,26.11448594219368
Acpl2,Acpl2,9,96889422,96823343,-,3.1844888285828215,0.05446072471431876,0.06770228995590281,57.888394927438476,0.5420053976916953,5.451282135665165
Kif5a,Kif5a,10,127263363,127225695,-,9.12038390466452,0.03745209919133875,0.10423621694145833,241.08608757786214,0.7227893733223837,11.919185339280894
Zfp9,Zfp9,6,118479273,118461950,-,1.0954167877714578,0.01646979419766027,0.01872165025330266,64.07854331023833,0.5368874069226403,6.999808697320455
Cldn12,Cldn12,5,5514976,5505015,-,,,,,0,0
Pgpep1,Pgpep1,8,70659738,70646436,-,13.673899437557584,0.09385659579302984,0.0963958017840811,144.2323826983221,0.6162994794673525,21.330340122950716
Dpysl5,Dpysl5,5,30799369,30711895,+,9.046855961404841,0.021727605297784832,0.08441550285811672,412.21235746140474,0.6746267494360388,9.502216495611489
Scnn1b,Scnn1b,7,121918728,121865038,+,,,,,0,0
Tmod2,Tmod2,9,75611325,75565622,-,2.175840898805576,0.019255348176714586,0.023791266122041993,111.86930872652013,0.8098878558464544,4.526183923263373
Hells,Hells,19,38968277,38930990,+,5.383946421364547,0.025842041324836394,0.08084241585804568,206.2571950161002,1.1325359066656393,7.532002602151759
Ivns1abp,Ivns1abp,1,151364445,151344498,+,5.750484680899568,0.027803300819338947,0.034126270216663965,204.75913529413552,0.5482514612027792,31.776603030218578
Bambi,Bambi,18,3516404,3507957,+,,,,,0,0
Tfrc,Tfrc,16,32632794,32608896,+,3.7177954219570504,0.02265651169154556,0.038123311470926576,162.4529635385543,0.4042831705241901,49.006661465249806
P4ha1,P4ha1,10,59373304,59323296,+,3.428139649672552,0.01533886174656721,0.041965176572238194,221.25880715597177,0.741373137643782,12.573734801551796
Psat1,Psat1,19,15925059,15905123,-,2.526872993501344,0.02364155967377908,0.026923269953212727,105.81384215276063,0.647993562330438,52.717960199170975
Vps13b,Vps13b,15,35931229,35371546,+,4.803999000102962,0.02196395463891614,0.0804989498405171,216.53473103041458,0.7429515876153929,2.2895657622957923
Pros1,Pros1,16,62929340,62854334,+,5.047155570851231,0.039128578611253094,0.08557266069666866,127.69909341163006,0.8198389774539863,9.567733634707713
Ncald,Ncald,15,37792428,37366175,-,4.965522815616556,0.026836660960043716,0.05852204965175997,183.177318325088,0.5822981266384624,1.9018783946134492
Mapk10,Mapk10,5,103211334,102907948,-,25.883788867103448,0.1356358124775038,0.18595711954647412,188.92466901160415,0.9965869449233986,0.29800359540332955
S100a10,S100a10,3,93564645,93555117,+,8.459472255250772,0.04323156477008463,0.06785959743297891,193.72136024309512,0.6535012697567286,39.59822820309461
Nrsn1,Nrsn1,13,25269996,25252039,-,1.6643217909123638,0.027620460529309252,0.027735564514927775,59.654275903720645,0.6774026929669097,9.840207813659955
Mfng,Mfng,15,78773445,78755883,-,6.372233923621674,0.023329888512553607,0.038689460270936164,270.40470343400494,0.7832939725316703,9.028574091993132
Tagln3,Tagln3,16,45724531,45711230,-,8.475673648855489,0.02979368707594767,0.04680011574024876,281.63405526068266,0.6361651528095048,26.667746506562757
Scnn1g,Scnn1g,7,121768477,121734507,+,,,,,0,0
Gfra1,Gfra1,19,58454466,58236692,-,7.096920233591039,0.04071227176074284,0.10431247751847754,172.57575486195202,0.964653073306716,1.4115599397080518
Rab31,Rab31,17,65772752,65651726,-,0.844960044132142,0.01969624100200987,0.021601580004740543,42.47056296708901,0.5859757379565013,2.8109497715861806
Exo1,Exo1,1,175911396,175880778,+,5.123873212988351,0.08549836621162672,0.10956525053883305,59.33019197469356,0.9443803246006282,6.084060751859317
Gab1,Gab1,8,80880479,80764434,-,7.543824866195138,0.03045006367001577,0.07723830789826329,245.2666995533188,0.8062812807572207,1.7831486634542606
Dbi,Dbi,1,120121096,120113280,-,12.821832642912137,0.0462271792369638,0.04789976361786917,274.5920154767533,0.6639029035116261,72.9992891744824
Nasp,Nasp,4,116627951,116601052,-,5.390946460337072,0.020110077290881805,0.02644905560304958,265.39117272083234,0.6164857615223439,10.733265187746335
Nedd9,Nedd9,13,41487320,41309916,-,3.2124095520860245,0.02903414347606855,0.03159764290308455,109.53605224092527,0.6515235030934817,3.936904224796945
Trim59,Trim59,3,69044742,69035294,-,9.560467954688994,0.022134008839957926,0.0433834025160338,427.616314043186,0.7678592924160264,26.985645565376338
Glce,Glce,9,62070606,62057249,-,2.4011617366486804,0.01812349148292422,0.029457312092023655,131.16402661826623,0.5462578814672927,15.553355134598995
Phactr1,Phactr1,13,43138512,42680623,+,3.448635652097783,0.028219723300013547,0.017442901257355727,120.98450644890505,0.6661274543680374,0.7411838062356834
Anxa6,Anxa6,11,55033471,54978962,-,14.628755975373949,0.018983351053665068,0.06111337888753286,762.9036820042431,0.7315720126579686,20.49824817771326
Wdhd1,Wdhd1,14,47276857,47240944,-,1.8215013512068656,0.017059449803784144,0.02559028832432563,105.70600801526378,0.7321807903892844,4.595155165728652
Slco3a1,Slco3a1,7,74554780,74275418,-,1.4346548793929519,0.026198156128080984,0.03220773908314718,54.21405703726754,0.8416975770599926,0.23100181903347028
Tpi1,Tpi1,6,124814296,124810592,-,18.292746234725268,0.04363485197360546,0.0501170014233078,415.03105781893265,0.6343553773286639,46.0648951984939
Npy,Npy,6,49829505,49822729,+,,,,,0,0
Caln1,Caln1,5,130840645,130369458,+,2.1466888038759744,0.0710551607243343,0.06755765833803369,29.90946602854406,0.901991035199059,0.11881822441847839
Slc30a4,Slc30a4,2,122702663,122681239,-,3.560408045288202,0.06126591058683749,0.06395971460551561,57.53287482505152,0.4829223237218467,9.975088820200437
Napb,Napb,2,148732420,148694657,-,1.3784934958626858,0.022102982104841257,0.030778355314562862,61.74318716048475,0.44876774308345296,4.227012367008392
Aurkb,Aurkb,11,69051662,69045643,+,12.352078054996676,0.10588161796551243,0.14322913924998978,115.4927314997186,1.0053449292672003,16.54389421754706
Adrbk2,Adrbk2,5,113015514,112910478,-,5.575126661716615,0.024709474292704658,0.0676035893298932,223.3708143571883,0.806992744987227,5.440164098142523
Vcl,Vcl,14,21033673,20929433,+,22.110718679768542,0.047438678306204886,0.21314381320779535,461.429623980644,0.9801592421099692,18.12434595195637
Vat1l,Vat1l,8,114374070,114205640,+,0.8684983398869653,0.012389578787599725,0.017034694653891253,69.39811039812356,0.4127305595373134,1.7584539099107857
Ndrg2,Ndrg2,14,51913488,51905271,-,0.8868498319936202,0.0298052020041851,0.028138741597837948,29.457318677135696,0.5881031236490614,13.112501813406203
Pole,Pole,5,110337453,110286319,+,10.66270716175032,0.2460382090880183,0.24054801459306088,42.90423072603516,0.8845181023603989,3.672166287759875
Jam2,Jam2,16,84826375,84774123,+,1.289461962723977,0.03890906482219598,0.037841082956220684,32.80899576821773,0.7198336596771566,5.052029095515216
Gucy1a3,Gucy1a3,3,82145877,82092427,-,2.248971220128179,0.04548677857724845,0.05603244326242358,48.94788282590179,0.65032573352238,3.39712484841142
Glipr2,Glipr2,4,43979118,43957702,+,5.909916875888461,0.036010488216251475,0.05184017465347368,162.47537861730828,0.5812532950289682,14.810085344511403
Ezh2,Ezh2,6,47595030,47530274,-,34.72290808445586,0.050224956703362314,0.19775320901597687,684.4342187618057,0.6758236066518835,9.650186115875176
Fbxo5,Fbxo5,10,5805465,5799158,-,,,,,0,0
Fgd5,Fgd5,6,92076005,91987110,+,3.8249590153731683,0.05394496496930701,0.07161488663217201,70.19578986424322,0.849920639198884,1.5332677565410904
Dck,Dck,5,88783277,88765013,+,9.19094528748447,0.07735503423243399,0.10376876655868074,117.62693824514544,0.6156090283325714,22.506830854979015
Sipa1l1,Sipa1l1,12,82451784,82170016,+,2.818761165037781,0.03825500687293682,0.042831362177579116,72.94662271676576,0.9541366309960112,0.3140904690956462
Ckap2,Ckap2,8,22185819,22168152,-,11.937315906910445,0.027265286149046792,0.05671729541332574,433.44282848300503,0.6771590141265238,34.62571348649391
Phox2a,Phox2a,7,101822726,101818313,+,10.062770768683533,0.015849097672412358,0.06134072363095747,628.5621596198026,1.1304740886141336,32.37637445143032
Bace2,Bace2,16,97439012,97356728,+,5.976045243481012,0.06586182510358383,0.10756845651354059,89.8287404234759,0.7368876537713558,2.04116100862209
Mcm7,Mcm7,5,138171862,138164589,-,2.1729201550082187,0.010835571869060623,0.011198614860734668,198.53044947268037,0.44673535234136635,14.619998450670524
Incenp,Incenp,19,9899533,9872297,-,5.318777739901523,0.04201872796100896,0.04765532351105372,125.31531100581347,0.7149762990504857,18.8971193172488
Phldb2,Phldb2,16,45844378,45746231,-,3.489463855159427,0.06561411605913253,0.06206918881630174,52.6497867241634,0.8813538130072098,1.7699570572252021
Ckap5,Ckap5,2,91620665,91546322,+,3.138720703342255,0.015490106272244963,0.018633380073563233,200.60117352948865,0.47644181702617117,11.073322359444283
Dapp1,Dapp1,3,137981549,137931006,-,3.657840218346218,0.03133038914858356,0.09748380671768136,115.5830461916389,1.0346568916153474,4.207588075810367
Ppfibp1,Ppfibp1,6,147032023,146888494,+,6.035852312009632,0.024533325848989804,0.03652162210566683,243.56639722109202,0.9167446150634253,1.4589326838107493
Prim1,Prim1,10,128030030,128015215,+,3.481927776425509,0.04812880047025902,0.045894733547033745,71.62257245100841,0.6710217813315436,3.94180665301287
Rbm24,Rbm24,13,46431099,46418300,+,9.143468835358412,0.05400059294013744,0.08065543380267902,167.6284213589931,0.7580417380875463,6.246908710200072
Slc2a1,Slc2a1,4,119137329,119108745,+,9.402832742266124,0.03256207101959373,0.06096850684727989,285.8787578112594,0.6358909953332317,43.856176373208086
9330182L06Rik,9330182L06Rik,5,9480717,9266193,+,1.4358067943455788,0.036107356001631744,0.0518723983982243,39.36728921214518,0.8888524404235988,0.9485192502762378
Zc3h12c,Zc3h12c,9,52168111,52111985,-,0.9552396870430806,0.014193785064042843,0.01870697054725852,66.62685717063323,0.6844294587519512,1.4086614436079414
Cdk2,Cdk2,10,128705051,128697939,-,4.466353419724617,0.053361455043832454,0.05234981833901085,82.86299318291232,0.5756532530596763,28.525694572271448
Runx1t1,Runx1t1,4,13893643,13743302,+,3.1712986214903243,0.06427738165723913,0.08980149220657183,48.844329907794716,0.9560069607850832,0.6475834021015274
Unc13b,Unc13b,4,43264887,43058984,+,4.523205849690226,0.03518259274676385,0.09594570151209274,127.2781066314453,0.8285736636022537,2.2873425351659
Epb4.1l3,Epb4.1l3,17,69289987,69156810,+,10.017378965664475,0.03524694806575693,0.056096915816736384,281.36351429650676,0.7476154986347835,1.160763103259379
Bub3,Bub3,7,131571898,131560391,+,10.512848015200206,0.03868561593319696,0.05447859880830001,269.0333159751275,0.5377344623387694,28.24340418259358
Cenpn,Cenpn,8,116941503,116921740,+,2.9380291242956806,0.033361200785860606,0.030608988421287828,87.1865749594208,0.8443800796887743,5.565516582788678
Fah,Fah,7,84605942,84585159,-,4.779982911358767,0.06533297127499639,0.08417499911068908,72.43177510367165,0.8401333156982684,5.287181702983588
Calr,Calr,8,84846931,84842088,-,4.037050837069503,0.013401543510709525,0.011568691897073206,298.2253742268535,0.393226227215235,18.323498527325413
Ehd3,Ehd3,17,73832093,73804841,+,3.198271840160765,0.02041068200482164,0.023542109876053145,155.12902121600743,0.5913473176490763,21.864879339921252
Prss12,Prss12,3,123506602,123446913,+,,,,,0,0
Ppp2r2b,Ppp2r2b,18,43059471,42645221,-,2.9542006571410555,0.038655283654932426,0.07006877413148026,75.65999713460796,0.4522210397679694,0.29702081782630185
Tipin,Tipin,9,64304792,64281607,+,2.8594569448065443,0.028201929524935672,0.029871929031834343,100.37832244263564,0.5906867096366307,11.846666969388002
Adcy5,Adcy5,16,35304549,35155636,+,0.8185961066866219,0.02270696005463433,0.018206951679035854,35.689944566329416,0.5613985468324177,0.6127289491667586
Tbx3,Tbx3,5,119684601,119670669,+,2.3494601274619447,0.009957056941272526,0.020771855212673898,233.59970118741364,0.6750813233060425,10.202967619815716
Sgsm1,Sgsm1,5,113310786,113243220,-,1.4752842401838617,0.023877791994358938,0.02442250998650375,61.166936964986945,0.6851102366606011,1.9846449864153612
Matn4,Matn4,2,164405160,164389393,-,2.843836294296162,0.0342591871498291,0.03852969584671195,74.25752393090988,0.9230349842980377,6.241478181327183
Casc5,Casc5,2,119104121,119047119,+,4.111774026075877,0.03621043149322007,0.055923362953848296,112.41667436570856,1.0976097124960402,9.187780343017266
Gli3,Gli3,13,15730025,15463723,+,3.668370397874524,0.076806544915545,0.09101208985093001,47.283557643285626,0.8711818846712557,0.6123701349173095
Col4a2,Col4a2,8,11449287,11312829,+,7.21740087201493,0.07041264230473628,0.1169673027385149,101.47647680044753,1.230701898493517,4.509381049242711
Tmpo,Tmpo,10,91171582,91147571,-,8.695208537455432,0.01907959821617582,0.04892432271041152,451.1759815142615,0.6929276251041748,20.73693606993957
Ctso,Ctso,3,81956725,81932616,+,0.4791260538979082,0.014528351497452663,0.022693725048468887,32.64890675601405,0.4560861746012988,12.740317289993406
Grik3,Grik3,4,125714173,125490831,+,1.8792864633618942,0.03486298176347254,0.03819742046895725,53.365877059821514,0.6921784040285206,0.2227191639212532
Stxbp1,Stxbp1,2,32847237,32787607,-,5.788306327571284,0.021699263949252208,0.04320329660260455,264.0837623661908,0.5615150535826746,4.96856048732718
Apba2,Apba2,7,64753876,64501706,+,9.433824275940728,0.15754275155580738,0.17779099717553445,59.28223254291032,0.9835215225239877,0.6871752614692821
Dek,Dek,13,47106221,47084767,-,14.008516212929385,0.05356269731283728,0.1020421647685446,258.91957923254677,0.6552496555739397,13.066467364051242
Rassf4,Rassf4,6,116673836,116633008,-,3.1966212492726016,0.022462662077019892,0.044034125672617976,140.88512866057096,0.5118709306216571,6.543035209915189
Hk2,Hk2,6,82774454,82725027,-,0.5275379856063241,0.01563368289712972,0.010997483250421616,33.4062427379889,0.5912502273535757,4.018614616818539
Pcdh9,Pcdh9,14,93890669,93013700,-,3.474397712490842,0.033782213107857596,0.06836088526762095,101.81848431255929,0.5371827017916109,0.2749482609472087
Ldhb,Ldhb,6,142507943,142490249,-,3.084498365291752,0.020945369337610167,0.022254713610283264,145.79133613822688,0.8931043191866966,5.851432930173342
Pnck,Pnck,X,73660070,73655992,-,1.359315094306947,0.019711223875814064,0.022088079661277526,68.2718613436833,0.643779484041112,29.67555185336619
Trim67,Trim67,8,124834704,124793019,+,0.7222003561933956,0.006988793385138815,0.010798815624271612,102.30354701167924,0.5438440843683914,5.219488570088155
Mum1l1,Mum1l1,X,139238335,139210044,+,1.9929507096491166,0.04811474619498772,0.053600343937231246,41.00658028116465,0.5579895448085178,6.319607017301724
Dtx4,Dtx4,19,12501996,12466336,-,6.374736876979205,0.027924793585016774,0.08459052254346948,225.99950431130904,0.8752628711595465,14.411543918750338
Ctnna2,Ctnna2,6,77979667,76881637,-,0.5989005498911085,0.011276599171169637,0.018063188173740082,52.578932299736884,0.6795062181084626,0.12260118296989127
Kcnk5,Kcnk5,14,20181782,20140058,-,4.904350130069835,0.07687350607977404,0.09342731929741246,63.15968760070125,0.9941249902887253,3.2153691014189203
Zfp711,Zfp711,X,112635062,112600526,+,2.94073791199857,0.030064103824689044,0.06684331355891565,96.8374294426086,0.6174117708886397,10.096613130655786
Plekhb2,Plekhb2,1,34879585,34849959,+,0.6834182577852123,0.012995169701207992,0.012452574538477559,52.06427393899034,0.5117716093125805,8.67658689511881
Zfp143,Zfp143,7,110095392,110061702,+,0.39339871487857764,0.015448975417715997,0.0156822763594436,25.20974480179288,0.48248089799562327,4.124648838441143
Ndrg1,Ndrg1,15,66969641,66929318,-,,,,,0,0
Garnl3,Garnl3,2,33087204,32986366,-,1.2027665549063093,0.028526419363981658,0.03399858059303019,41.74161762694655,0.5831342261961945,0.7079578184107023
Abca1,Abca1,4,53159895,53030789,-,0.59669848909704,0.015645351716335583,0.024081537304690044,37.757636575806515,0.45572649514425234,3.6170563879671
Sept9,Sept9,11,117362325,117199661,+,5.25700859057029,0.0230043593101701,0.027811910397272214,213.98343889026552,0.8707874618817728,8.454313411944282
Rfc4,Rfc4,16,23127730,23113948,-,6.448320609762356,0.02715526374631609,0.04329104049970401,235.086554978895,0.770884896070362,53.32744162151505
Glb1l2,Glb1l2,9,26806417,26763044,-,5.204357133071947,0.08878084151361466,0.10907094803308676,58.034069895036005,1.146096286421452,4.572663594477467
Col4a1,Col4a1,8,11312826,11198423,-,4.163248862804484,0.0366346121917155,0.050611193275593595,112.50607356254466,1.0964297256441133,7.047539186185263
App,App,16,85173707,84954436,-,15.23559686891659,0.014950194352037243,0.04920987665680446,982.806864155297,0.6998908401165206,3.590478490037682
Igsf3,Igsf3,3,101463060,101377125,+,36.918998698236365,0.0638360156426716,0.1744296588060741,572.5578005345002,0.7615895345415382,11.71070603122147
Csdc2,Csdc2,15,81950941,81936759,+,1.0740282415834035,0.01969451544190499,0.018419971901394442,53.989038842009755,0.6061886180237479,6.455245734338772
Tiam2,Tiam2,17,3519397,3326573,+,1.10047933976261,0.020923775457321415,0.026459090976858855,52.068736284577504,0.8290848010567098,0.4070013537692506
Gmnn,Gmnn,13,24761937,24751845,-,10.821518024521824,0.10592204813122623,0.13263347879593856,101.14327501488599,0.9728721094714268,12.468804523242245
Prox1,Prox1,1,190170680,190121777,-,1.1874848550128483,0.015807111014181224,0.02467714585370012,74.37222433675771,0.7497770478056802,1.1885359960912294
Ric3,Ric3,7,109083324,109034319,-,7.871482305508036,0.06328922252964213,0.14108154647135043,123.1294550790719,0.560060208963597,6.541878690969195
Scn3a,Scn3a,2,65567492,65457118,-,1.3255732651309868,0.03565743248129032,0.04670773348584715,36.80347801733224,0.8373095128180567,1.1174622455416352
Enc1,Enc1,13,97253040,97241105,+,,,,,0,0
Tubb4b,Tubb4b,2,25224702,25222158,-,36.02846606913026,0.1273466820739553,0.16039405419895358,280.0872455218348,0.500530987217321,78.7213154691786
Foxm1,Foxm1,6,128375886,128362994,+,3.9597571668595775,0.02634679326763699,0.03578530836538945,148.79076764177972,0.7334376852763528,47.829920560198396
Pon2,Pon2,6,5298373,5264624,-,3.1921509237325068,0.06064435966512317,0.07785717239655245,52.11085469359227,0.8476435872047552,6.481042457368101
Trp53i11,Trp53i11,2,93201757,93187584,+,2.0081787716847295,0.017330590172024936,0.022728766376012403,114.71605780494835,0.49207187654729695,12.749279150831072
Rnd3,Rnd3,2,51149111,51130439,-,1.784137310632833,0.05528825700811166,0.048707023681407946,31.947036009244446,0.7168765314197174,2.352534107490338
Gpm6b,Gpm6b,X,166389033,166238943,+,1.6741182388742062,0.02394577545459622,0.023842646339215956,69.21375587222181,0.8133111324134732,0.9544939233622818
Fam171b,Fam171b,2,83881358,83812728,+,5.394592193999861,0.0989719908586975,0.1109444720466191,53.961188672911646,0.8704027653423477,2.996810266668577
Utrn,Utrn,10,12861735,12382188,-,9.210068735198302,0.05650753127547241,0.1298726322734416,161.35845686474102,0.8438141965926833,1.1516635933472448
Serinc2,Serinc2,4,130275586,130253497,-,3.400854080823662,0.08690234598732374,0.07111893203129514,38.742861332035154,0.700299011515611,3.745506851339111
Zfp184,Zfp184,13,21960485,21945094,+,1.8148182540605322,0.04357236648780411,0.050319097158331653,41.234163217249495,0.5656821598038627,7.598194672535481
Prim2,Prim2,1,33669758,33453811,-,2.2358202703710464,0.0395621169782194,0.04486942139916428,55.94902994917939,0.6415761536178366,1.4149679041909164
Txndc5,Txndc5,13,38528460,38500275,-,16.594773036214406,0.09984921959166008,0.1172251562848199,164.5363416262943,0.5677848436743405,25.777433698083357
Sema3c,Sema3c,5,17730267,17574816,+,2.7306796162122247,0.05218411242811875,0.06240193908346021,51.8045185452541,1.2251476246156174,0.8174713216963315
Erc2,Erc2,14,28478537,27622442,+,1.5361639711496637,0.04483089277790636,0.048011635700095937,33.92308823677166,0.6995540101771046,0.1335794312491209
Ankrd37,Ankrd37,8,45999850,45996908,-,7.654430104542134,0.04431925868703689,0.09625571858559344,170.9840378199556,1.1128196248155517,5.64617774128849
Tpm4,Tpm4,8,72153129,72135292,+,5.174918709625863,0.01709079800467373,0.021937886612961206,299.76186724157634,0.6201878981274017,25.421418676627773
Stmn4,Stmn4,14,66361680,66344375,+,,,,,0,0
Rangap1,Rangap1,15,81729919,81704248,-,4.264837865015027,0.017490729832854723,0.0184846801573972,241.3958437819949,0.4634773595432833,19.681101456698613
Ankrd50,Ankrd50,3,38484816,38449261,-,11.233299650347256,0.0386012291579336,0.13875838381157848,288.09877033561054,1.1686512916054141,7.409526105607233
Zyx,Zyx,6,42358395,42349828,+,2.56258533530718,0.023450529734623294,0.028245359954490054,108.18346155346933,0.636716345321805,48.14176655097639
Uckl1,Uckl1,2,181581973,181569153,-,1.0802782871993024,0.01758406920520711,0.02301549841148229,60.82070605196488,0.5300356538242078,8.464250796761132
Prps2,Prps2,X,167382699,167346333,-,13.662316203152555,0.21212305939233675,0.19737008968992142,63.763426191700795,0.6140198522224636,25.985974561155977
Cyr61,Cyr61,3,145649985,145646971,-,,,,,0,0
Skp2,Skp2,15,9140451,9111985,-,8.916159251624958,0.03813490191586176,0.07504824867961113,231.46769011190833,0.5517924852783624,18.587311738230063
Zfp811,Zfp811,17,32809931,32795676,-,0.5865079954951158,0.01576725962158138,0.01895537494399771,36.825861276832896,0.45245137987813966,2.522244601452665
Zfp948,Zfp948,17,21588682,21567046,+,0.7408000575385058,0.013794764073569856,0.015275948813709085,53.16452336928811,0.498581249413052,3.6226245295361243
Bcat1,Bcat1,6,145076157,144993835,-,3.195172558638692,0.031512128321644135,0.04272236396685809,100.38105965948495,0.611333551229489,8.73965624515257
Slc35f1,Slc35f1,10,53111622,52690501,+,7.862407078647648,0.16310790367577116,0.16585100297975505,47.72167891590291,1.020654492161653,0.16604888561855197
Cdh10,Cdh10,15,19014234,18820329,+,,,,,0,0
Cdca7,Cdca7,2,72486890,72476219,+,4.221338364764432,0.06180231414020667,0.07092961730420723,67.62084946586133,0.6669549496565342,21.285827249256766
Zfp873,Zfp873,10,82061586,82048127,+,0.9947769923125469,0.059966655846269055,0.04808087054043598,16.422947194423124,0.4599678075744983,2.480147831780867
2610035D17Rik,2610035D17Rik,11,113201838,113043906,-,11.097366161732834,0.1833759476453183,0.19548221294054716,59.911851260696096,0.9356417418685232,0.16163700710766726
Cacng3,Cacng3,7,122769394,122671744,+,1.992295117823928,0.03770274128731387,0.059360669145774904,52.31376020155192,0.9499767214641734,0.7781839497907486
Prickle1,Prickle1,15,93595891,93499114,-,0.5426804556356792,0.006753014871591848,0.013401239741808868,79.5575992790134,0.49736339297845844,0.392451586314733
F2r,F2r,13,95618433,95601789,-,1.1114773008985437,0.017892977234584634,0.01811945688212199,61.49689419839593,0.48888988564446817,9.605060184633384
Sqle,Sqle,15,59331193,59315092,+,2.9247825915258714,0.036426637436297496,0.03813051588755462,79.48948817123986,0.4079011312480116,16.66772134801745
Prph,Prph,15,99058978,99055174,+,9.80514332350185,0.01788477016253639,0.039452217408274204,542.7574300395811,0.9982257907005523,107.535552974584
